ad_id,suburb,district,bedrooms,bathrooms,land_perches,floor_sqft,price_lkr,price_log
5719635,Delkanda,Colombo,4,4,7,350,34650000,17.36080831
5720336,Minuwangoda,Colombo,3,2,7,2000,23630000,16.97802769
5720337,Minuwangoda,Colombo,4,2,7,2000,19800000,16.80119255
5720282,Koswatta,Colombo,3,2,7,200,23630000,16.97802769
5720289,Ja Ela,Gampaha,3,2,7,2000,23630000,16.97802769
5720294,Ja Ela,Gampaha,2,2,7,1000,14630000,16.49858484
5720300,Koswatta,Colombo,3,2,7,333,23630000,16.97802769
5720534,Koswatta,Colombo,4,3,7,240,23760000,16.98351409
5870035,Malabe,Colombo,3,2,10,1200,26000000,17.07360713
5720546,Pannipitiya,Colombo,4,3,7,2400,24760000,17.02474005
5720554,Koggala,Galle,3,2,7,2000,23630000,16.97802769
5720564,Karagampitiya,Kandy,4,4,7,315,31190000,17.25560812
5720630,Pamunuwa,Other,3,2,7,2000,23630000,16.97802769
5720631,Wattala,Gampaha,5,5,12,350,34650000,17.36080831
5870034,Malabe,Colombo,4,3,7,2680,46500000,17.65496289
5720635,Karapitiya,Gampaha,4,2,7,2000,19800000,16.80119255
5720637,Karapitiya,Gampaha,3,2,7,2000,23630000,16.97802769
5720640,Nugegoda,Colombo,4,4,7,2400,24760000,17.02474005
5720644,Karapitiya,Gampaha,5,5,12,3500,34650000,17.36080831
5720647,Karapitiya,Gampaha,4,4,7,3150,31190000,17.25560812
5720658,Pamunuwa,Other,5,5,12,3500,34650000,17.36080831
5870033,Malabe,Colombo,5,4,7,1841,42000000,17.5531802
5720659,Katubedda,Colombo,3,2,7,2000,23630000,16.97802769
5720661,Katubedda,Colombo,4,4,7,3150,31190000,17.25560812
5720663,Katubedda,Colombo,5,5,12,3500,34650000,17.36080831
5720986,Colombo 1,Colombo,5,5,12,3500,34650000,17.36080831
5720987,Colombo 1,Colombo,3,2,7,2000,23630000,16.97802769
5870032,Athurugiriya,Colombo,3,2,7,1300,24000000,16.99356443
5720991,Colombo 1,Colombo,4,2,7,2000,19800000,16.80119255
5720702,Nawinna,Colombo,3,2,7,2000,23630000,16.97802769
5720704,Nawinna,Colombo,4,4,7,3150,31190000,17.25560812
5870030,Athurugiriya,Colombo,3,2,18.5,1600,27500000,17.1296966
5870029,Kelaniya,Gampaha,4,4,18,2500,180000000,19.00846741
5870026,Malabe,Colombo,4,3,18,2800,75000000,18.13299868
5720709,Nawinna,Colombo,5,5,12,3500,34650000,17.36080831
5720713,Nawinna,Colombo,4,2,7,2000,19800000,16.80119255
5721265,Colombo 3,Colombo,3,2,7,200,23630000,16.97802769
5721270,Maharagama,Colombo,2,2,7,1000,14630000,16.49858484
5721279,Mattala,Other,5,5,12,3500,34650000,17.36080831
5721280,Mattala,Other,4,4,7,3150,31190000,17.25560812
5870023,Negombo,Gampaha,3,3,8,2510,64000000,17.97439366
5721281,Mattala,Other,3,2,7,2000,23630000,16.97802769
5721351,Malabe,Colombo,2,2,7,1000,14630000,16.49858484
5721372,Kesbewa,Colombo,2,2,7,1000,14630000,16.49858484
5721767,Godagama,Colombo,3,2,7,2000,23630000,16.97802769
5721781,Koggala,Colombo,2,2,7,1000,14630000,16.49858484
5721803,Meegoda,Colombo,4,4,10,3150,31190000,17.25560812
5870021,Kadawatha,Gampaha,3,2,8.5,1350,24300000,17.00598695
5721835,Meegoda,Colombo,3,2,7,2000,23630000,16.97802769
5721840,Kegalle,Galle,5,5,12,3500,34650000,17.36080831
5721671,Madapatha,Colombo,4,2,7,2000,19800000,16.80119255
5721696,Mount Lavinia,Colombo,4,2,7,2000,19800000,16.80119255
5721710,Seeduwa,Gampaha,4,2,7,2000,19800000,16.80119255
5870020,Pannipitiya,Colombo,4,4,8,4000,105000000,18.46947092
5721720,Seeduwa,Gampaha,3,2,7,2000,23630000,16.97802769
5721728,Seeduwa,Gampaha,2,2,7,1000,14630000,16.49858484
5722073,Pita Kotte,Colombo,3,2,7,2000,23630000,16.97802769
5722093,Colombo 5,Colombo,5,5,12,3500,34650000,17.36080831
5870018,Kottawa,Colombo,5,4,7.5,3500,32500000,17.29675068
5722094,Colombo 5,Colombo,4,4,7,3500,34690000,17.36196205
5722189,Ahangama,Galle,5,5,12,3500,34650000,17.36080831
5722190,Panadura,Kalutara,4,4,7,3150,31190000,17.25560812
5722191,Panadura,Kalutara,3,2,7,2000,23630000,16.97802769
5722195,Panadura,Kalutara,4,2,7,2000,19800000,16.80119255
5722197,Panadura,Kalutara,2,2,7,1000,14630000,16.49858484
5870017,Kadawatha,Gampaha,6,4,15.75,4000,90000000,18.31532024
5722204,Athurugiriya,Colombo,4,4,7,3150,31190000,17.25560812
5722206,Athurugiriya,Colombo,3,2,7,2000,23630000,16.97802769
5722207,Athurugiriya,Colombo,4,2,7,2000,19800000,16.80119255
5722115,Mattegoda,Colombo,4,4,7,3150,31190000,17.25560812
5722119,Mattegoda,Colombo,4,2,7,2000,19800000,16.80119255
5722125,Mattegoda,Colombo,3,2,7,2000,23630000,16.97802769
5870015,Ja Ela,Gampaha,4,3,10,2600,36500000,17.41282285
5722144,Angoda,Colombo,4,4,7,3150,31190000,17.25560812
5722146,Nuwara Eliya,Nuwara Eliya,3,2,7,2000,23630000,16.97802769
5722154,Colombo 2,Colombo,4,4,7,3150,31190000,17.25560812
5853906,Asgiriya,Gampaha,4,2,28,2400,34500000,17.35646991
5722162,Kesbewa,Colombo,4,4,7,3150,31190000,17.25560812
5722166,Kesbewa,Colombo,4,2,7,2000,19800000,16.80119255
5722169,Colombo 2,Colombo,4,2,7,2000,19800000,16.80119255
5722173,Colombo 2,Colombo,5,5,12,3500,34650000,17.36080831
5722091,Pita Kotte,Colombo,5,5,12,3500,34650000,17.36080831
5722092,Kesbewa,Colombo,3,2,7,2000,23630000,16.97802769
5723605,Kegalle,Galle,3,2,7,2000,23630000,16.97802769
5723606,Kegalle,Galle,4,2,7,2000,19800000,16.80119255
5723608,Kegalle,Galle,4,4,7,3150,31190000,17.25560812
5723620,Pepiliyana,Colombo,3,2,7,2000,23630000,16.97802769
5723624,Negombo,Gampaha,2,2,7,1000,14630000,16.49858484
5870013,Ragama,Gampaha,4,5,10,4000,45000000,17.62217307
5723777,Gampaha,Gampaha,2,2,7,2000,14630000,16.49858484
5723791,Homagama,Colombo,2,2,7,1000,14630000,16.49858484
5723931,Tangalle,Galle,2,2,7,1000,14630000,16.49858484
5723933,Tangalle,Galle,3,2,7,2000,23630000,16.97802769
5723799,Kottawa,Colombo,2,2,7,1000,14630000,16.49858484
5723806,Pannipitiya,Colombo,2,2,7,1000,14630000,16.49858484
5724082,Katugastota,Kandy,4,4,7,3150,31190000,17.25560812
5724090,Katugastota,Kandy,5,5,12,3500,34650000,17.36080831
5724092,Digana,Kandy,3,2,7,2000,23630000,16.97802769
5724099,Digana,Kandy,4,4,7,3150,31190000,17.25560812
5724103,Digana,Kandy,2,2,7,1000,14630000,16.49858484
5724105,Peradeniya,Kandy,4,2,7,2000,19800000,16.80119255
5724110,Peradeniya,Kandy,3,2,7,2000,23630000,16.97802769
5724115,Peradeniya,Kandy,5,5,12,3500,34650000,17.36080831
5724122,Hikkaduwa,Galle,3,2,7,2000,23630000,16.97802769
5724168,Mirissa,Matara,4,4,7,3150,31190000,17.25560812
5723965,Mirissa,Matara,2,2,7,1000,14630000,16.49858484
5723969,Mirissa,Matara,3,2,7,2000,23630000,16.97802769
5870010,Kadawatha,Gampaha,8,6,17.25,2500,112500000,18.53846379
5724198,Avissawella,Badulla,5,5,12,3500,34650000,17.36080831
5724200,Hikkaduwa,Galle,2,2,7,1000,14630000,16.49858484
5724204,Kotugoda,Other,3,2,7,2000,23630000,16.97802769
5724207,Rajagiriya,Colombo,2,2,7,1000,14630000,16.49858484
5724209,Kadugannawa,Kandy,3,2,7,2000,23630000,16.97802769
5724225,Horana,Kalutara,4,4,7,3150,31190000,17.25560812
5724384,Matara,Matara,2,2,7,1000,14630000,16.49858484
5724387,Matara,Matara,3,2,7,2000,23630000,16.97802769
5724395,Matara,Matara,5,5,12,3500,34650000,17.36080831
5724401,Padukka,Colombo,3,2,7,2000,23630000,16.97802769
5724414,Padukka,Colombo,4,2,7,2000,19800000,16.80119255
5724460,Nuwara Eliya,Nuwara Eliya,4,2,7,2000,19800000,16.80119255
5724217,Ampitiya,Kandy,4,4,7,2400,24760000,17.02474005
5724218,Ampitiya,Kandy,5,5,12,3500,34650000,17.36080831
5724220,Digana,Kandy,5,5,12,3500,34650000,17.36080831
5724222,Horana,Kalutara,2,2,7,1000,14630000,16.49858484
5724224,Horana,Kalutara,3,2,7,2000,23630000,16.97802769
5724461,Ingiriya,Kalutara,4,2,7,2000,19800000,16.80119255
5724462,Attidiya,Colombo,3,2,7,2000,23630000,16.97802769
5853892,Gampaha,Gampaha,3,1,40,2500,7500000,15.83041371
5724466,Wadduwa,Kalutara,4,4,7,3150,31190000,17.25560812
5724666,Anuradhapura,Anuradhapura,3,2,7,2000,23630000,16.97802769
5724668,Anuradhapura,Anuradhapura,4,2,7,2000,19800000,16.80119255
5724678,Kadawatha,Gampaha,3,2,7,2000,23630000,16.97802769
5724680,Kadawatha,Gampaha,4,2,7,2000,19800000,16.80119255
5724702,Kadawatha,Gampaha,2,2,7,1000,14630000,16.49858484
5724710,Weligama,Matara,2,2,7,1000,14630000,16.49858484
5724850,Weligama,Matara,3,2,7,2000,23630000,16.97802769
5724974,Ekala,Gampaha,2,2,7,1000,14630000,16.49858484
5724978,Ekala,Gampaha,4,2,7,2000,19800000,16.80119255
5724981,Ekala,Gampaha,5,5,9,3500,34650000,17.36080831
5724983,Moratuwa,Colombo,2,2,7,1000,14630000,16.49858484
5724985,Ganemulla,Gampaha,4,2,7,2000,19800000,16.80119255
5724988,Ganemulla,Gampaha,5,5,12,3500,34650000,17.36080831
5724995,Wattala,Gampaha,4,2,7,2000,19800000,16.80119255
5724705,Mihintale,Anuradhapura,4,2,7,2000,19800000,16.80119255
5724706,Kelaniya,Gampaha,4,4,7,3150,31190000,17.25560812
5724707,Kelaniya,Gampaha,3,2,7,2000,23630000,16.97802769
5724708,Kelaniya,Gampaha,5,5,12,3500,34650000,17.36080831
5725003,Kaduwela,Colombo,2,2,7,1000,14630000,16.49858484
5725004,Kaduwela,Colombo,3,2,7,2000,23630000,16.97802769
5725006,Kaduwela,Colombo,5,5,9,3500,34650000,17.36080831
5725007,Katunayake,Gampaha,5,5,9,3500,34650000,17.36080831
5725008,Kahathuduwa,Colombo,2,2,7,1000,14630000,16.49858484
5725009,Kahathuduwa,Colombo,5,5,9,3500,34650000,17.36080831
5869999,Battaramulla,Colombo,4,3,17.4,3000,175000000,18.98029654
5869996,Ja Ela,Gampaha,6,3,14.5,2500,38000000,17.45309674
5725010,Kahathuduwa,Colombo,3,2,7,2000,23630000,16.97802769
5823483,Colombo 5,Colombo,7,8,16,3000,300000000,19.51929304
5725011,Thalawathugoda,Colombo,2,2,7,1000,14630000,16.49858484
5725013,Koggala,Galle,5,5,9,3500,34650000,17.36080831
5725393,Katunayake,Gampaha,3,2,7,2000,23630000,16.97802769
5838306,Nugegoda,Colombo,4,3,8,2200,55000000,17.82284376
5725512,Unawatuna,Galle,3,2,7,2000,23630000,16.97802769
5726514,Welisara,Other,5,5,9,3500,34650000,17.36080831
5726517,Bandaragama,Gampaha,5,5,9,3500,34650000,17.36080831
5841297,Nugegoda,Colombo,4,4,15,4000,107000000,18.4883394
5841198,Nugegoda,Colombo,4,3,7.2,2000,69000000,18.04961708
5841967,Matara,Matara,4,2,15.5,2750,39500000,17.49181126
5863095,Ethul Kotte,Colombo,5,4,18,3000,135000000,18.72078534
5726519,Nuwara Eliya,Nuwara Eliya,5,5,9,3500,34650000,17.36080831
5726520,Weligama,Matara,5,5,9,3500,34650000,17.36080831
5869985,Nawala,Colombo,7,7,11,3000,250000000,19.33697148
5869973,Boralesgamuwa,Colombo,4,3,15,3880,75000000,18.13299868
5711347,Kandy,Kandy,6,7,80,2830,110000000,18.51599093
5715582,Kandy,Kandy,4,4,15,3150,31190000,17.25560812
5722149,Kandy,Kandy,4,2,7,2000,19800000,16.80119255
5718118,Malabe,Colombo,3,2,6,2000,23630000,16.97802769
5718532,Malabe,Colombo,3,2,7,2000,23630000,16.97802769
5718614,Malabe,Colombo,4,4,7,2400,24760000,17.02474005
5721740,Rathmalana,Colombo,3,2,7,2000,23630000,16.97802769
5721745,Rathmalana,Colombo,2,2,7,1000,14630000,16.49858484
5721732,Rathmalana,Colombo,4,4,7,3150,31190000,17.25560812
5869971,Bulathkohupitiya,Other,4,1,32,1360,16000000,16.58809934
5869960,Kandana,Gampaha,5,2,13.5,2586,20000000,16.81124288
5827968,Kadawatha,Gampaha,5,2,12.5,2800,21000000,16.86003304
5823380,Ethul Kotte,Colombo,4,3,20,2900,88000000,18.29284738
5844812,Galle,Galle,5,3,143,1200,107900000,18.49671544
5862946,Gampaha,Gampaha,5,2,24,2300,38500000,17.46616883
5863596,Athurugiriya,Colombo,4,4,10,2400,32000000,17.28124649
5855562,Colombo 5,Colombo,5,3,16,3000,235000000,19.27509608
5747625,Colombo 5,Colombo,5,4,8.9,2800,135000000,18.72078534
5863815,Dehiwala,Colombo,4,4,15,3000,150000000,18.82614586
5771864,Malabe,Colombo,5,4,10.4,2850,31000000,17.24949779
5855785,Katunayake,Gampaha,1,1,12,1878,13900000,16.44739947
5870273,Pita Kotte,Colombo,4,2,2,2700,67000000,18.02020319
5870268,Ja Ela,Gampaha,5,2,12.2,3200,33000000,17.31201815
5870267,Kahathuduwa,Colombo,5,4,10,3400,49500000,17.71748325
5870263,Angoda,Colombo,5,3,9,3500,47000000,17.66565818
5870260,Athurugiriya,Colombo,6,4,40,3000,80000000,18.19753721
5870256,Battaramulla,Colombo,5,5,10,4500,130000000,18.68304502
5870253,Pita Kotte,Colombo,5,3,11.5,3500,59000000,17.89304802
5870251,Pita Kotte,Colombo,4,3,7.5,2580,45000000,17.62217307
5870249,Battaramulla,Colombo,3,2,14.9,2000,25500000,17.05418905
5870248,Battaramulla,Colombo,4,3,13,3000,58000000,17.87595359
5870245,Homagama,Colombo,3,2,10,1400,22500000,16.92902591
5870244,Weliweriya,Gampaha,3,2,7,1990,26500000,17.09265533
5870242,Weliweriya,Gampaha,5,3,18,2850,38500000,17.46616883
5870239,Dompe,Gampaha,3,2,25,2800,13000000,16.38045999
5870236,Nawagamuwa,Other,4,2,10,1725,19000000,16.75994959
5870233,Godagama,Colombo,4,2,6,2500,30000000,17.21670797
5870231,Homagama,Colombo,3,2,10,1400,22500000,16.92902591
5870140,Kalubowila,Colombo,5,5,6,3000,80000000,18.19753721
5870129,Mount Lavinia,Colombo,7,4,8,3000,70000000,18.06400581
5870100,Negombo,Gampaha,6,4,11,3000,68000000,18.03501828
5868983,Colombo 5,Colombo,4,4,15.25,4633,330000000,19.61460322
5847711,Negombo,Gampaha,4,4,10,3650,51000000,17.74733621
5863832,Negombo,Gampaha,3,2,11,1650,26000000,17.07360713
5834089,Negombo,Gampaha,3,1,12,1550,22000000,16.90655306
5807573,Negombo,Gampaha,7,4,10,2500,58000000,17.87595359
5794021,Piliyandala,Colombo,5,4,92,3000,350000000,19.67344372
5763386,Moratuwa,Colombo,7,7,17,3000,130000000,18.68304502
5771070,Kottawa,Colombo,4,3,11.3,3000,50000000,17.72753358
5791132,Horana,Kalutara,5,4,18.3,2300,52000000,17.7667543
5794048,Battaramulla,Colombo,5,6,55.4,3000,400000000,19.80697511
5794779,Thalawathugoda,Colombo,4,3,12.41,2400,70000000,18.06400581
5795420,Ja Ela,Gampaha,3,2,15.4,1540,32000000,17.28124649
5797217,Kalutara,Kalutara,8,7,43,3000,65000000,17.98989784
5798916,Malabe,Colombo,3,3,10.25,2200,65000000,17.98989784
5805262,Pannipitiya,Colombo,4,4,6.4,2600,68000000,18.03501828
5805264,Rajagiriya,Colombo,4,3,26.6,2500,90000000,18.31532024
5809147,Athurugiriya,Colombo,3,2,18.5,1600,30000000,17.21670797
5810190,Wattala,Gampaha,3,4,14,3200,80000000,18.19753721
5810931,Attidiya,Colombo,4,4,26.2,3000,225000000,19.23161096
5822238,Dehiwala,Colombo,8,7,26,3000,285000000,19.46799974
5825371,Pannipitiya,Colombo,4,4,20,2579,65000000,17.98989784
5827473,Colombo 5,Colombo,7,3,12,3500,190000000,19.06253464
5835478,Malabe,Colombo,4,3,8,2540,55000000,17.82284376
5838169,Polgasowita,Colombo,5,4,9,3000,80000000,18.19753721
5842412,Kandana,Gampaha,7,6,20,2500,88000000,18.29284738
5855675,Angoda,Colombo,2,1,6,1000,27000000,17.11134746
5858952,Dehiwala,Colombo,4,3,36,3700,125000000,18.6438243
5859790,Thalawathugoda,Colombo,3,3,9.8,3500,98000000,18.40047805
5859860,Thalawathugoda,Colombo,4,4,8.1,3500,96000000,18.37985876
5868314,Colombo 5,Colombo,3,3,35,3000,470000000,19.96824325
5869800,Thalawathugoda,Colombo,4,4,6,4000,65000000,17.98989784
5863257,Kelaniya,Gampaha,5,2,20.5,2000,45000000,17.62217307
5658925,Maharagama,Colombo,3,3,50,3750,260000000,19.37619219
5868367,Kohuwala,Colombo,3,2,6,1633.5,32000000,17.28124649
5868694,Kiribathgoda,Gampaha,4,3,23,2500,70000000,18.06400581
5859704,Colombo 3,Colombo,4,4,11.5,3000,420000000,19.85576527
5763953,Colombo 7,Colombo,4,4,9,3000,300000000,19.51929304
5763667,Colombo 5,Colombo,4,4,20,4000,295000000,19.50248592
5842938,Pita Kotte,Colombo,4,3,12,3000,85000000,18.25816183
5842971,Rathmalana,Colombo,5,5,6.85,2345,55000000,17.82284376
5843665,Battaramulla,Colombo,5,4,57,4000,375000000,19.74243659
5846589,Nugegoda,Colombo,3,2,6.9,3600,65000000,17.98989784
5838328,Pelawatte,Other,3,3,9.5,2500,68000000,18.03501828
5844916,Rajagiriya,Colombo,4,4,22,3500,170000000,18.951309
5844929,Pelawatte,Other,5,3,16.5,2700,80000000,18.19753721
5869718,Nugegoda,Colombo,3,2,6,1780,85000000,18.25816183
5869717,Nagoda,Kalutara,6,2,23.5,2000,29000000,17.18280642
5869716,Malabe,Colombo,5,2,25,3000,95000000,18.36938746
5869715,Kiriwatthuduwa,Colombo,3,1,12,3000,9000000,16.01273525
5869714,Colombo 5,Colombo,3,2,8.25,1999,145000000,18.79224431
5697777,Colombo 5,Colombo,5,3,33,3000,544500000,20.1153785
5869710,Colombo 8,Colombo,4,1,7.19,1430,49000000,17.70733088
5869708,Bokundara,Other,4,3,7.5,2450,42500000,17.56501466
5869707,Kaduwela,Colombo,4,5,24.5,4830,65000000,17.98989784
5869701,Kaduwela,Colombo,4,2,13.5,2000,19700000,16.79612924
5869694,Malabe,Colombo,6,4,14,2700,67000000,18.02020319
5869691,Malabe,Colombo,4,5,8.5,3000,27000000,17.11134746
5869690,Malabe,Colombo,4,3,8.5,4150,35000000,17.37085865
5869689,Boralesgamuwa,Colombo,3,3,20,1800,60000000,17.90985514
5869688,Nawala,Colombo,3,3,9,3000,88000000,18.29284738
5869684,Maharagama,Colombo,5,2,8,3200,55000000,17.82284376
5869682,Maharagama,Colombo,6,2,12.5,2000,31000000,17.24949779
5869680,Moratuwa,Colombo,4,3,11.7,2415,37000000,17.4264285
5869678,Rathmalana,Colombo,5,2,6.5,2200,40000000,17.50439004
5869677,Athurugiriya,Colombo,4,4,22,2500,29500000,17.19990086
5869676,Athurugiriya,Colombo,4,2,20,3000,37500000,17.43985152
5869673,Boralesgamuwa,Colombo,5,3,20.5,3000,85000000,18.25816183
5869672,Nawala,Colombo,4,2,12.5,3403,145000000,18.79224431
5740354,Gampaha,Gampaha,4,3,10,2480,62500000,17.95067713
5869671,Piliyandala,Colombo,4,3,10,2800,44000000,17.59970021
5758253,Ja Ela,Gampaha,4,2,25.5,3000,56000000,17.84086227
5781121,Gampaha,Gampaha,4,3,15.5,3200,35000000,17.37085865
5762965,Wattala,Gampaha,4,3,7,1500,24000000,16.99356443
5741341,Wattala,Colombo,7,5,13,3568,65000000,17.98989784
5814126,Katunayake,Gampaha,4,2,14,3200,35000000,17.37085865
5867129,Thalawathugoda,Colombo,4,4,9,3326,103000000,18.45023956
5867505,Colombo 7,Colombo,4,3,10,3500,230000000,19.25358987
5867518,Pelawatte,Colombo,5,3,14,3800,88000000,18.29284738
5869637,Boralesgamuwa,Colombo,6,3,15,2793.75,43000000,17.5767107
5836072,Kaduwela,Colombo,3,3,7.5,2400,68000000,18.03501828
5362806,Nawala,Colombo,5,4,9.95,3700,58000000,17.87595359
5869930,Battaramulla,Colombo,4,3,15.3,3300,56500000,17.84975121
5777137,Mirigama,Gampaha,6,2,19,1200,13500000,16.41820032
5869929,Malabe,Colombo,3,2,6.5,1200,19500000,16.78592507
5869928,Athurugiriya,Colombo,4,3,12.2,3000,39000000,17.47907223
5826999,Thalawathugoda,Colombo,4,4,20,4500,130000000,18.68304502
5869634,Rajagiriya,Colombo,4,5,10.5,4000,95000000,18.36938746
5640122,Colombo 7,Colombo,4,3,10,4000,230000000,19.25358987
5869921,Colombo 6,Colombo,6,6,12.7,2547,152000000,18.83939109
5855534,Yakkala,Other,4,2,4,2080,10500000,16.16688591
5794405,Colombo 5,Colombo,5,4,27,3000,472500000,19.97354831
5828180,Colombo 7,Colombo,5,4,10,3500,150000000,18.82614586
5869916,Colombo 5,Colombo,4,4,10.5,3000,230000000,19.25358987
5851833,Colombo 5,Colombo,3,2,8.25,2000,145000000,18.79224431
5869911,Kalubowila,Colombo,6,5,16.27,3000,180000000,19.00846741
5612066,Colombo 3,Colombo,5,4,15,3500,360000000,19.70161459
5750226,Colombo 5,Colombo,5,4,32,3000,600000000,20.21244021
5869877,Homagama,Colombo,3,2,7,1700,27500000,17.1296966
5867833,Malabe,Colombo,5,4,11.8,2715,38000000,17.45309674
5869849,Moratuwa,Colombo,5,5,26.8,3000,85000000,18.25816183
5869832,Rajagiriya,Colombo,4,4,13.75,4200,52000000,17.7667543
5869829,Athurugiriya,Colombo,3,3,6.75,3000,36500000,17.41282285
5869828,Colombo 3,Colombo,10,3,18,2500,290000000,19.48539148
5869824,Battaramulla,Colombo,6,4,30,3000,250000000,19.33697148
5869820,Homagama,Colombo,3,3,7,1700,27500000,17.1296966
5869819,Homagama,Colombo,2,1,8.5,1500,16200000,16.60052186
5869814,Rajagiriya,Colombo,4,4,20,3000,200000000,19.11382793
5869798,Dehiwala,Colombo,4,3,11.5,3128,60000000,17.90985514
5869787,Colombo 7,Colombo,4,4,17,3000,350000000,19.67344372
5869767,Dankotuwa,Gampaha,3,1,14.5,1200,5800000,15.57336865
5869759,Panadura,Kalutara,3,1,10,1200,9500000,16.06680246
5869758,Boralesgamuwa,Colombo,8,7,25,4900,250000000,19.33697148
5869757,Piliyandala,Colombo,4,2,27,1800,35000000,17.37085865
5869756,Moratuwa,Colombo,4,3,15,3500,55000000,17.82284376
5869755,Piliyandala,Colombo,4,3,13.54,2557,59000000,17.89304802
5869754,Maharagama,Colombo,5,5,25,4000,105000000,18.46947092
5869752,Nugegoda,Colombo,4,4,9,2507,70000000,18.06400581
5869751,Nugegoda,Colombo,4,2,14.65,2500,56500000,17.84975121
5869750,Piliyandala,Colombo,4,3,7,3400,42500000,17.56501466
5869749,Dehiwala,Colombo,3,3,3,1500,38000000,17.45309674
5869747,Padukka,Colombo,8,10,50,3000,145000000,18.79224431
5869746,Kolonnawa,Colombo,2,2,4,1089,15500000,16.55635065
5869745,Piliyandala,Colombo,4,2,10.5,3450,31500000,17.26549814
5869742,Piliyandala,Colombo,4,4,12,4600,75000000,18.13299868
5869741,Mount Lavinia,Colombo,6,4,18.3,3500,125000000,18.6438243
5869735,Bandaragama,Gampaha,3,4,12.5,3600,45000000,17.62217307
5869734,Piliyandala,Colombo,1,1,6.5,1800,14000000,16.45456796
5869731,Moratuwa,Colombo,3,2,16,2225,60000000,17.90985514
5869729,Athurugiriya,Colombo,3,2,12,1800,15500000,16.55635065
5869727,Athurugiriya,Colombo,4,3,6,2850,46500000,17.65496289
5869725,Nugegoda,Colombo,5,4,16.5,3300,107000000,18.4883394
5869724,Piliyandala,Colombo,6,6,8,3600,85000000,18.25816183
5869723,Kalutara,Kalutara,6,3,12.5,2300,19800000,16.80119255
5869722,Boralesgamuwa,Colombo,6,3,15,2790,42500000,17.56501466
5869721,Panadura,Kalutara,3,2,5,4000,27500000,17.1296966
5869720,Moratuwa,Colombo,3,2,8.77,1200,40000000,17.50439004
5864956,Malabe,Colombo,4,4,7,2100,34500000,17.35646991
5831228,Athurugiriya,Colombo,4,2,6.8,2800,28000000,17.1477151
5831319,Colombo 7,Colombo,4,3,23.5,3000,470000000,19.96824325
5867131,Ja Ela,Gampaha,4,2,16.67,3100,36000000,17.39902952
5865579,Wattala,Gampaha,2,2,1,1060,31000000,17.24949779
5753147,Rajagiriya,Colombo,7,6,69,3000,400000000,19.80697511
5864915,Rajagiriya,Colombo,4,10,16.68,3000,240000000,19.29614949
5867457,Rajagiriya,Colombo,3,4,19,3718,150000000,18.82614586
5860438,Thalawathugoda,Colombo,4,4,20,3500,150000000,18.82614586
5863338,Thalawathugoda,Colombo,5,3,18,3700,115000000,18.5604427
5868114,Hokandara,Colombo,3,3,8,3000,58000000,17.87595359
5866130,Pannipitiya,Colombo,7,4,9,2472,45000000,17.62217307
5858066,Wattala,Gampaha,5,5,12.25,2800,45000000,17.62217307
5869380,Ja Ela,Gampaha,4,3,10.9,3900,39000000,17.47907223
5869378,Korathota,Other,4,4,10.2,2200,31000000,17.24949779
5868643,Boralesgamuwa,Colombo,4,3,13.5,2800,66000000,18.00516532
5868972,Kelaniya,Gampaha,4,3,16.3,2500,54500000,17.81371128
5869353,Kadawatha,Gampaha,5,5,8.95,4225,43000000,17.5767107
5869352,Athurugiriya,Colombo,5,3,13.5,4200,47500000,17.67624029
5869619,Colombo 7,Colombo,6,3,23.5,4000,497000000,20.02410059
5869301,Galle,Galle,5,3,32.5,4000,70000000,18.06400581
5869584,Galle,Galle,4,2,94,3800,55000000,17.82284376
5869579,Mattegoda,Colombo,3,2,10,1725,27500000,17.1296966
5865234,Pelawatte,Colombo,4,3,73,3000,250000000,19.33697148
5861895,Colombo 7,Colombo,4,3,10,4200,230000000,19.25358987
5861946,Pita Kotte,Colombo,5,5,40,3000,375000000,19.74243659
5862138,Colombo 5,Colombo,3,2,11,4500,100000000,18.42068075
5818803,Kiribathgoda,Gampaha,5,5,11.5,4000,80000000,18.19753721
5800224,Nugegoda,Colombo,5,3,20,3500,59000000,17.89304802
5801219,Thalawathugoda,Colombo,4,3,7.2,2600,59500000,17.90148689
5801465,Ethul Kotte,Colombo,3,3,10,2300,59000000,17.89304802
5821462,Thalawathugoda,Colombo,4,3,7.25,2600,59500000,17.90148689
5863103,Kandy,Kandy,5,3,6.3,3300,65000000,17.98989784
5865926,Kandy,Kandy,4,3,10.5,3400,75000000,18.13299868
5851073,Kandy,Kandy,4,3,20.5,3500,65000000,17.98989784
5847763,Kohuwala,Colombo,3,2,6,1400,35000000,17.37085865
5869546,Kahathuduwa,Colombo,6,5,7,4100,43000000,17.5767107
5866098,Horana,Kalutara,5,4,50,2900,40000000,17.50439004
5869535,Battaramulla,Colombo,3,1,22.8,2300,125400000,18.64701919
5865918,Veyangoda,Colombo,3,2,12.5,1300,13500000,16.41820032
5868928,Veyangoda,Colombo,5,2,15,2900,23000000,16.95100482
5869471,Malabe,Colombo,4,2,11,2500,55000000,17.82284376
5869463,Angoda,Colombo,6,4,23.5,3846,60000000,17.90985514
5837925,Colombo 3,Colombo,7,7,10,3000,350000000,19.67344372
5850920,Colombo 7,Colombo,4,4,175,4000,400000000,19.80697511
511629,Lake Drive,Other,6,6,13,2600,210000000,19.16261809
